"Categoria","Ano","num_chave_nota_fiscal_eletronica","num_item_nota_fiscal_eletronica","cod_anp","cod_ncm","cod_unidade","des_anp","des_produto"
CB,2018,"24181007006283000209550010000027741000912564",5,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",6,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",7,"320102001","27101259",LT,Gasolina Comum,GASOLINA COMUM
CB,2018,"24181007006283000209550010000027741000912564",8,"810101001","22071090",LT,Alcool,ETANOL COMUM
CB,2018,"24181007006283000209550010000027741000912564",9,"420101005","27101921",LT,OLEO DIESEL A S1800 - ADITIVADO,OLEO DIESEL B S10 GRID ADITIVADO
CB,2018,"24181007006283000209550010000027741000912564",10,"420101005","27101921",LT,OLEO DIESEL A S1800 - ADITIVADO,OLEO DIESEL B S10 GRID ADITIVADO
CB,2018,"24181007006283000209550010000027741000912564",11,"420101005","27101921",LT,OLEO DIESEL A S1800 - ADITIVADO,OLEO DIESEL B S10 GRID ADITIVADO
CB,2018,"24181205564770000261550010108250841005877885",1,"320102001","27101259",UN,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"24181205564770000261550010108250841005877885",2,"320102001","27101259",UN,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"24181205564770000261550010108250841005877885",3,"820101034","27101921",UN,DIESEL S10,DIESEL S10
CB,2018,"24181207006283000209550010000027841279064066",3,,"56012291",LT,,GASOLINA PETROBRAS GRID
CB,2018,"24181207006283000209550010000027841279064066",4,,"56012291",LT,,GASOLINA PETROBRAS GRID
CB,2018,"24181207006283000209550010000027841279064066",5,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",6,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",7,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",8,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",9,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",10,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",11,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",12,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",13,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",14,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",15,,"56012291",LT,,GASOLINA COMUM
CB,2018,"24181207006283000209550010000027841279064066",16,,"56012291",LT,,ETANOL HIDRATADO
CB,2018,"24181207006283000209550010000027841279064066",17,,"56012291",LT,,ETANOL HIDRATADO
CB,2018,"24181207006283000209550010000027841279064066",18,,"56012291",LT,,ETANOL HIDRATADO
CB,2018,"24181207006283000209550010000027841279064066",19,,"56012291",LT,,DIESEL S-10 PETROBRAS GRID
CB,2018,"24181207006283000209550010000027841279064066",20,,"56012291",LT,,DIESEL S-10 PETROBRAS GRID
CB,2018,"25180909382946000134550010000160341004261489",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL COMUM
CB,2018,"25180909382946000134550010000160341004261489",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL COMUM
CB,2018,"25180909382946000134550010000160341004261489",3,,"27101932",UN,,OLEO MAXON IOL SUPRA 15W40 24X1
CB,2018,"25180909382946000134550010000160341004261489",6,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL COMUM
CB,2018,"25180909382946000134550010000160341004261489",7,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL COMUM
CB,2018,"25180909382946000134550010000160341004261489",8,"810101001","22071090",L,ALCOOL ETILICO HIDRATADO COMBUSTIVEL - AEHC C,ETANOL HIDRATADO COMB MARCADO
CB,2018,"25180925199976000166550010000009651000051870",1,"320101002","27101259",LT,Gasolina A Premium,GASOLINA SUPRA
CB,2018,"25180925199976000166550010000009651000051870",2,"320102001","27101259",LT,Gasolina C Comum,GASOLINA COMUM
CB,2018,"25180925199976000166550010000009651000051870",3,"320102001","27101259",LT,Gasolina C Comum,GASOLINA COMUM
CB,2018,"25180925199976000166550010000009651000051870",4,,"27101932",UN,,LUB PETRONA SN 5W30 SELENIA PERFORM
CB,2018,"26180901199880000130550010000014051002643529",1,,"27101921",LT,,OLEO DIESEL EVOLUX S-10
CB,2018,"26180901199880000130550010000014051002643529",3,"320102002","27101259",UN,GASOLINA C ADITIVADA - GASOLINAS,GASOLINA V POWER ADITIVADA
CB,2018,"26180901199880000130550010000014051002643529",4,"320102001","27101259",UN,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"26180924093908000155550010000194431890551443",1,,"27101259",LT,,GASOLINA COMUM
CB,2018,"26180924093908000155550010000194431890551443",2,,"27101259",LT,,GASOLINA COMUM
CB,2018,"26180924093908000155550010000194431890551443",3,,"27101259",LT,,GASOLINA COMUM
CB,2018,"26180924093908000155550010000194431890551443",4,,"27101921",LT,,OLEO DIESEL
CB,2018,"26180924093908000155550010000194431890551443",5,,"27101259",LT,,GASOLINA SHELL V-POWER
CB,2018,"26180924093908000155550010000194431890551443",6,,"27101259",LT,,GASOLINA SHELL V-POWER
CB,2018,"26180924093908000155550010000194431890551443",7,,"27101921",LT,,SHELL EVOLUX DIESEL S 10
CB,2018,"26180924093908000155550010000194431890551443",10,,"27101932",GL,,SHELL RIMULA RT4X 4LITROS 15W40
CB,2018,"26180924093908000155550010000194431890551443",11,,"27101921",LT,,DIESEL BS 10 COMUM
CB,2018,"26180924093908000155550010000194431890551443",12,,"27101932",LT,,SHELL RIMULA R3 MULTI -LT- CH4 15W40 12X1L CX
CB,2018,"26181221280350000129550010000009111000024344",2,"810101001","22072019",LT,Alcool Etilico Hidratado Comum,ETANOL
CB,2018,"27180909280520000170550010000101411000794062",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA C COMUM
CB,2018,"27180909280520000170550010000101411000794062",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA C COMUM
CB,2018,"27180909280520000170550010000101411000794062",3,"820101034","27101921",L,DIESEL B S10 COMUM,OLEO DIESEL B S10 ADIT PETROBRAS GRID
CB,2018,"27180909280520000170550010000101411000794062",4,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA C COMUM
CB,2018,"27180909280520000170550010000101411000794062",5,"810101001","22071090",L,&Aacute;LCOOL ET&Iacute;LICO HIDRATADO COMUM,ETANOL COMUM
CB,2018,"27180909280520000170550010000101411000794062",6,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA C COMUM
CB,2018,"27180909280520000170550010000101411000794062",8,"620505001","27101932",UN,OUTROS &Oacute;LEOS LUBRIFICANTES AUTOMOTIVOS,OLEO LUBRAX EXTREMO 1LT
CB,2018,"29180829102327000156550010000007731001563740",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180829102327000156550010000007731001563740",2,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180829102327000156550010000007731001563740",3,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180829102327000156550010000007731001563740",4,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180829102327000156550010000007731001563740",5,"810101001","22071090",L,&Aacute;LCOOL ET&Iacute;LICO HIDRATADO COMUM,ETANOL COMUM
CB,2018,"29180829102327000156550010000007731001563740",6,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180829102327000156550010000007731001563740",8,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29180829102327000156550010000007731001563740",9,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180929102327000156550010000008821001900841",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180929102327000156550010000008821001900841",2,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180929102327000156550010000008821001900841",3,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29180929102327000156550010000008821001900841",4,"810101001","22071090",L,&Aacute;LCOOL ET&Iacute;LICO HIDRATADO COMUM,ETANOL COMUM
CB,2018,"29180929102327000156550010000008821001900841",5,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180929102327000156550010000008821001900841",7,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180929102327000156550010000009101001992122",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180929102327000156550010000009101001992122",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180929102327000156550010000009101001992122",3,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29180929102327000156550010000009101001992122",4,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180929102327000156550010000009101001992122",5,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29180929102327000156550010000009101001992122",6,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29180929102327000156550010000009101001992122",8,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181129102327000156550010000011581000519162",1,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29181129102327000156550010000011581000519162",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181129102327000156550010000011581000519162",3,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29181129102327000156550010000011581000519162",4,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181129102327000156550010000011581000519162",5,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181201855960000104550010000064901003560320",1,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181201855960000104550010000064901003560320",2,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181201855960000104550010000064901003560320",3,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181201855960000104550010000064901003560320",4,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181201855960000104550010000064901003560320",5,"820101034","27101921",L,DIESEL B S10 COMUM,OLEO DIESEL B S10
CB,2018,"29181201855960000104550010000064901003560320",6,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181201855960000104550010000064901003560320",7,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181201855960000104550010000064901003560320",8,"810101001","22071090",L,ALCOOL ETILICO HIDRATADO COMBUSTIVEL - AEHC C,ETANOL
CB,2018,"29181201855960000104550010000064901003560320",9,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181201855960000104550010000064901003560320",10,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181201855960000104550010000064901003560320",12,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA ADITIVADA
CB,2018,"29181229102327000156550010000012951000769900",1,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"29181229102327000156550010000012951000769900",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181229102327000156550010000012951000769900",3,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181229102327000156550010000012951000769900",4,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181229102327000156550010000012951000769900",5,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"29181229102327000156550010000012951000769900",7,"820101034","27101921",L,DIESEL B S10 COMUM,DIESEL B - S 10
CB,2018,"32180727352004000195550000000074601000119102",1,"820101034","27101921",L,DIESEL B S10 COMUM,OLEO DIESEL B S10
CB,2018,"32180727352004000195550000000074601000119102",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"32180927444595000120550010000167391997146108",1,,"27101259",LITRO,,GASOLINA COMUM
CB,2018,"32181027352004000195550000000077151000267517",1,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA COMUM
CB,2018,"32181027352004000195550000000077151000267517",2,"810101001","22071090",L,ALCOOL ETILICO HIDRATADO COMUM,ALCOOL ETILICO HIDRATADO
CB,2018,"32181027352004000195550000000077151000267517",3,"820101034","27101921",L,DIESEL B S10 COMUM,OLEO DIESEL B S10
CB,2018,"32181027352004000195550000000077151000267517",4,,"27101932",L,,OLEO LUBRAX AVANTE 10W40 1 LITRO
CB,2018,"32181027495696000120550020000021611000344275",1,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA DT CLEAN
CB,2018,"32181027495696000120550020000021611000344275",2,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL IPIRANGA
CB,2018,"32181027495696000120550020000021611000344275",3,"820101012","27101921",L,OLEO DIESEL B S500 - COMUM,OD B S-500 ORIGINAL
CB,2018,"32181027495696000120550020000021611000344275",4,"210301001","22071090",L,ETANO,ETANOL HIDRATADO COMBUSTIVEL
CB,2018,"32181027495696000120550020000021611000344275",5,,"27101932",UN,,OLEO LUB HAV ULTRA S 5W30 1L
CB,2018,"32181027495696000120550020000021611000344275",10,"420105001","27101921",L,OLEO DIESEL A S10,OD B S-10 ORIGINAL
CB,2018,"32181127495696000120550020000023021000430370",1,"420105001","27101921",L,OLEO DIESEL A S10,OD B S-10 ORIGINAL
CB,2018,"32181127495696000120550020000023021000430370",3,"320102001","27101259",L,GASOLINA C COMUM,GASOLINA ORIGINAL IPIRANGA
CB,2018,"32181127495696000120550020000023021000430370",4,"820101012","27101921",L,OLEO DIESEL B S500 - COMUM,OD B S-500 ORIGINAL
CB,2018,"32181127495696000120550020000023021000430370",5,"320102002","27101259",L,GASOLINA C ADITIVADA,GASOLINA DT CLEAN
CB,2018,"32181127495696000120550020000023021000430370",6,"420105001","27101921",L,OLEO DIESEL A S10,OD B S-10 ORIGINAL
CB,2018,"33180704804979000101550020000039091100578210",1,"620505001","27101932",Un,OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS,HELIX HX7 10W40 1L
CB,2018,"33180839759030000111550030000127101188033558",3,,"27101932",UN,,HELIX ULTRA 5W40 LT
CB,2018,"33181239759030000111550030000145861111453479",2,,"27101932",UN,,HELIX ULTRA 5W40 LT
CB,2018,"41180777488005000130550010000395831065716122",1,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180777488005000130550010000395831065716122",2,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180777488005000130550010000395831065716122",3,"320101002","27101259",L,GASOLINA A PREMIUM - GASOLINAS,GASOLINA V-POWER
CB,2018,"41180777488005000130550010000395831065716122",4,"810101001","22071090",L,ALCOOL ETILICO HIDRATADO COMUM - ALCOOL,ETANOL
CB,2018,"41180777488005000130550010000395831065716122",5,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180777488005000130550010000395831065716122",6,"320101002","27101259",L,GASOLINA A PREMIUM - GASOLINAS,GASOLINA V-POWER
CB,2018,"41180777488005000130550010000395831065716122",7,"320101002","27101259",L,GASOLINA A PREMIUM - GASOLINAS,GASOLINA V-POWER
CB,2018,"41180777488005000130550010000395831065716122",8,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180777488005000130550010000395831065716122",9,,"27101932",UN,,BARDAHL SINTETICO 5W30 1L
CB,2018,"41180777488005000130550010000395831065716122",10,"820101033","27101921",L,OLEO DIESEL B S10,DIESEL S-10
CB,2018,"41180777488005000130550010000395831065716122",11,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180777488005000130550010000395831065716122",12,"620505001","27101932",UN,OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS - OLEOS LUBRIFICANTES ACABADOS,SHELL HELIX HX8 5W30 SN 1L
CB,2018,"41180777488005000130550010000395831065716122",13,"820101034","27101921",L,OLEO DIESEL S10 COMUM,SHELL EVOLUX DIESEL S-10 ADITIVADO
CB,2018,"41180804679739000122650010000935501669859030",1,,"27101932",UN,,BRUTUS ALTA PERFORMANCE 1L
CB,2018,"41180816794464004225550010000099241078680545",4,"620505001","27101932",LITRO,OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS,OLEO MOTOR TAMBOR
CB,2018,"41180877488005000130550010000398661067546355",1,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180877488005000130550010000398661067546355",2,"320102001","27101259",L,GASOLINA C COMUM - GASOLINAS,GASOLINA COMUM
CB,2018,"41180877488005000130550010000398661067546355",4,"820101033","27101921",L,OLEO DIESEL B S10,DIESEL S-10
CB,2018,"41180877488005000130550010000398661067546355",5,"820101034","27101921",L,OLEO DIESEL S10 COMUM,SHELL EVOLUX DIESEL S-10 ADITIVADO
CB,2018,"41180877488005000130550010000398661067546355",6,"320101002","27101259",L,GASOLINA A PREMIUM - GASOLINAS,GASOLINA V-POWER
CB,2018,"41180877488005000130550010000398661067546355",7,"320101002","27101259",L,GASOLINA A PREMIUM - GASOLINAS,GASOLINA V-POWER
CB,2018,"41180877488005000130550010000398661067546355",8,"620505001","27101932",UN,OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS - OLEOS LUBRIFICANTES ACABADOS,OLEO MOTOR SHELL HELIX HX8 5W30 SN 1L
CB,2018,"41180877488005000130550010000398661067546355",9,"620505001","27101932",UN,OUTROS OLEOS LUBRIFICANTES AUTOMOTIVOS - OLEOS LUBRIFICANTES ACABADOS,OLEO MOTOR SHELL HELIX HX8 5W30 SN 1L
CB,2018,"41180909187117000109550010000297811000071840",2,,"27101259",LT,,GASOLINA ADITIVADA V POWER
CB,2018,"41180909187117000109550010000297811000071840",3,,"27101921",LT,,OLEO DIESEL ADITIVADO S10
CB,2018,"41180909187117000109550010000297811000071840",4,,"27101921",LT,,OLEO DIESEL COMUM S500
CB,2018,"41180909187117000109550010000297811000071840",5,,"22071090",LT,,ETANOL HIDRATADO COMUM
CB,2018,"41180909187117000109550010000297811000071840",6,,"27101259",LT,,GASOLINA COMUM
CB,2018,"41180924350771000177550010000473131002290876",1,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",2,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",3,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",4,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",5,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",6,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",7,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",8,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",9,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",10,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",11,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",12,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",13,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",14,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",15,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",16,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",17,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",19,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",20,,"27101932",UN,,STP AT FLUID 100ML
CB,2018,"41180924350771000177550010000473131002290876",21,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",22,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",23,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",24,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",25,"810101001","22072019",LT,ANP,Etanol
CB,2018,"41180924350771000177550010000473131002290876",26,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",27,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",28,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",30,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",31,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",32,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",33,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",34,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",35,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",36,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",37,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",38,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",39,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",40,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",41,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",42,"320102002","27101259",LT,combustivel,Gasolina Aditivada
CB,2018,"41180924350771000177550010000473131002290876",43,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",44,"320102001","27101259",LT,ANP,Gasolina Comum
CB,2018,"41180924350771000177550010000473131002290876",45,"320102001","27101259",LT,ANP,Gasolina Comum
